jd_filename,sector,role_type,category,code,code_label,evidence,required,confidence
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D4,Conduct safety leadership activities,Conduct and record prestart meeting when required.,not_specified,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D1,Supervise and lead crews/contractors,Direct and supervise daily roles of the workforce.,not_specified,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D17,Training delivery & competency assurance,"Ensure that all workers (including contractors) have the appropriate skills, expertise and competencies to undertake the tasks and activities delegated to them.",not_specified,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D17,Training delivery & competency assurance,"Provide appropriate training to ensure all workers (including contractors) comply with the organisations quality, safety and environmental standards and systems.",not_specified,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D5,Ensure statutory compliance,Carry out checks to ensure contractor's plant and equipment is fit for purpose as per your obligations under Contractor Management.,not_specified,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D12,Reporting; budgets and administration,Write purchase orders as required.,not_specified,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D1,Supervise and lead crews/contractors,Supervise and/or conduct/assist with repairs or maintenance on crushing equipment.,not_specified,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D4,Conduct safety leadership activities,Visually monitor your surrounds at all times and report any concerns immediately.,not_specified,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D11,Plan and schedule work,Assist Site Senior Executive with task preparation and planning and development of Safe Work Procedures.,not_specified,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,DUTY,D6,Promote and uphold safety culture,Ensure all workers are working both efficiently and safely at all times.,not_specified,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,QUALIFICATIONS,Q5,Minerals & Quarry supervisor competencies,Competencies recognised by the Mining Safety and Health Advisory Committee (MQSHA 1999 & MQSHR 2017):,required,medium
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,QUALIFICATIONS,Q8,RII units (named),"RIIRIS301E Apply risk management processes (previously RIIRIS301D, RIIRIS301B, RIIRIS301A QMS1, MNMG325A or MNQGEN300A or MNCG1001A); and",required,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,QUALIFICATIONS,Q8,RII units (named),"RIIWHS301E Conduct safety and health investigations (previously RIIWHS301A, RIIOHS301A, QMS2 or MNMG326A or MNQGEN310A or MNCG1008A); and",required,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,QUALIFICATIONS,Q8,RII units (named),"RIICOM301E Communicate information (previously RIICOM301D, RIICOM301B, RIICOM301A, QMS3 or MNMG327A or MNQGEN340A or MNCG1009A).",required,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,EXPERIENCE,E6,Sector experience — Quarry / Construction materials,Proven 'hands on' experience in fixed and mobile crushing/screening and quarrying.,required,high
Supervisor_Rev_2_0625.pdf,Quarry,Quarry Supervisor,EXPERIENCE,E7,Equipment/operational specialism,Proven 'hands on' experience in fixed and mobile crushing/screening and quarrying.,required,medium
