code,label,n_jds,pct_jds
DP2,Strong communicator,28,50.0
DP1,Safety-focused,22,39.3
DP14,Relationship-building,14,25.0
DP5,"Hands-on, lead by example",14,25.0
DP3,People-focused / caring,13,23.2
DP6,Problem-solver,12,21.4
DP13,Time management,10,17.9
DP11,Adaptable / flexible,9,16.1
DP12,Decision-making under pressure,8,14.3
DP7,Initiative / proactive,6,10.7
DP10,Continuous improvement mindset,5,8.9
DP15,Self-management,5,8.9
DP4,Results-oriented,3,5.4
DP8,DP8,2,3.6
DP16,Inclusive leadership,1,1.8
DP9,Coaching/mentoring trait,1,1.8
