code,label,n_jds,pct_jds
D1,Supervise & lead crews,39,69.6
D2,Coach & mentor,31,55.4
D7,Oversee daily operations,30,53.6
D6,Promote safety culture,28,50.0
D11,Plan & schedule work,25,44.6
D5,Statutory compliance,25,44.6
D10,Continuous improvement,24,42.9
D12,Reporting & admin,22,39.3
D8,Manage production/targets,21,37.5
D4,Safety leadership activities,20,35.7
D16,Cross-functional collaboration,20,35.7
D9,Coordinate resources,16,28.6
D3,Allocate tasks,11,19.6
D17,Training & competency assurance,11,19.6
D15,Environmental & quality,11,19.6
D18,Shift handover,5,8.9
D13,Incident investigation,4,7.1
D14,Permits & high-risk activities,2,3.6
