code,label,n_jds,pct_jds
Q11,Driver's licence,18,31.6
Q9,Trade qualification,17,29.8
Q2,Coal Surface S1/S2/S3/G2,12,21.1
Q1,Standard 11,11,19.3
Q3,Coal UG G1/G8/G9,8,14.0
Q5,Minerals/Quarry QMS123/G189,6,10.5
Q6,Coal Board Medical,6,10.5
Q8,RII units (named),6,10.5
Q7,First Aid,5,8.8
Q12,High Risk Work Licences,4,7.0
Q17,VOC for equipment,3,5.3
Q18,Cert IV TAE,3,5.3
Q10,Engineering tertiary,3,5.3
Q4,OCE,3,5.3
Q14,MSIC,2,3.5
Q16,Generic Site Induction,2,3.5
Q13,White Card,1,1.8
Q15,Explosives Security Clearance,1,1.8
Q20,Shotfirer accreditation,1,1.8
Q19,Frontline Management,1,1.8
